code,iso,country,AMP,APR,BCA,BHV,BLC,CDA,CDO,CH4,CHA,COE,CXN,EEZ,FGA,FOG,GDB,GDP,GHG,GHI,GHN,GHP,GIB,GL5,GPC,GRA,GRL,HAD,MPA,MSW,NDA,NOE,NOT,NOX,NXA,OCP,OZD,PAR,PBD,PDN,PMD,POP,PST,REC,SDA,SO2,SOE,SPI,SPU,TBG,TBN,TC5,TCC,TCL,USD,UWD,VOE,WL5,WTA,WTL,WWT
4,AFG,Afghanistan,0.0,13.13483026,0.0214091849165443,0.418988,14.9174376760871,-0.0514529717579472,9780.0,666.0,-0.0001522125091465,0.198343095,0.808,0.0,0.043415761500372387,12953.712580152673,0.029110209608429,77037691162.3816,32590.8,4.1486498113102e-07,24111.6987878788,32590.8,-0.0425997428482729,1034.87030000001,1978.96157872183,233675.705,0.0009141256166938,5328.36887570484,7.518604097278257,0.9894,0.0076142015803115,0.004288922,17.2,480.669585861274,-0.0005699776770666,0.084412667,93.9751747746081,0.0452027,1869.90936413595,60.3060165320082,1627.16758357508,38928341.0,2.82,0.8889,0.37999464115166,327.818553506875,0.002283607,13.38,2.82,6.01593910116135,2.36597182048065,85.0,39.0,5.97840039105772e-05,466.408266323242,674.481232607599,0.01573218,0.0,71.499301,0.0,0.0
8,ALB,Albania,178.803804298848,9.532293596,-0.111462309246261,0.348171,0.945792388076463,0.0117359850326491,5560.0,102.0,-6.69732312187716e-05,0.135896101,0.808,12177.2156845581,0.0577826461822881,194.0,0.0231249020484339,37728959169.7297,9563.07,2.45074713365787e-07,11621.5094545455,9563.07,-0.0170802650375241,49.392836,13295.4108845409,1427.13296,0.0067092275433154,404.635477641937,1.46834718978976,0.995,-0.0022322141248075,0.00703956,3.79,23.3718454665101,-0.0131356371767781,0.013533145,7.99930738806109,0.145301,211.230280315371,98.6166792552173,839.523696686194,2837743.0,3.59,0.7952,-0.0664169900999569,11.5387103573932,0.006018663,63.64,3.59,17.0,17.0,7684.0,1241.0,0.0020406591509646,39.4120695901348,116.095860273863,0.009952233,0.738103380000005,56.01069,0.0026016075775627,0.01853
12,DZA,Algeria,26.5588653839387,1.27322021,0.0067002101392035,0.596696,69.2931822538994,0.0473093836935325,184000.0,3160.0,0.0139341154190409,0.209900146,0.808,131425.409022926,0.0169230819983315,636.0,0.0206098558201797,468402778164.2,278723.4,5.62436017047381e-07,536861.001212121,278723.4,0.0071765566753898,0.0776074000000051,10681.6792969827,70.6799697,0.0002424866592651,6.17074845903961,0.0202083186055033,0.468,0.0205546005662804,0.0252208,29.8,487.160680549918,0.0332548356347804,0.171700363,36.9918260742171,0.0532553,283.678569504448,18.9285543494437,1837.9474520657,43851043.0,0.82,0.8896,-0.0336390362251454,66.4577087271867,0.01405927,74.44,0.82,4.96523627402215,1.20340089864728,84559.0,14169.0,0.0119111694593778,39.6371044503183,127.632486713306,0.021838432,0.0,21.748026,0.0,0.3312
20,AND,Andorra,0.0,3.480068037,-0.007743839153592417,0.563142,27.617290172999354,0.024957131866480273,458.0,3.18,0.007220692724283166,0.144228032,0.808,0.0,0.043415761500372387,18.1,0.02654392522916367,675597446832.1637,604.638,5.394391850979916e-07,353041.9379850016,604.638,-0.015990366955703182,0.0,19405.30029441189,90.8993057,0.0,0.470707592982868,7.518604097278257,0.6895,0.005121366644986835,0.009869409,0.154,467.689587698333,-0.003460989515256338,0.0,28.5399132076282,0.316379333333333,29.4589053876664,170.85874398205,182.052027000053,77265.0,1.29,0.8488,-0.02665922416101764,345.22516912638446,0.001824439,46.60120786516853,1.29,17.0,17.0,56.0,28.0,0.0005670886075949,0.913971255340195,1.65559689644448,0.011439649,52.15160570027412,10938.094876642459,0.0031117136931471307,1.0
24,AGO,Angola,1.40093999612221,0.083847284,0.015176017068959,0.614766,27.5553631574201,0.0167302402756055,27000.0,2170.0,0.0003376445134659,0.254906549,0.808,498906.881945225,0.0617331503210434,59.9,0.0069366360546732,203707884595.18,103938.1,4.89615170633342e-07,119326.255757576,103938.1,-0.0130078795961942,976.825500000006,6198.08384070805,156718.225,0.001231980731384,1967.14975706954,0.0002808018984745,1.0,0.0026217741120022,0.005902456,65.4,133.085001193508,0.0116316035228037,0.059434142,34.5991087851865,0.115177,303.060419043689,26.1823275562566,1259.67059462631,32866268.0,0.21,0.8101,0.04687310815973,77.3874051627565,0.002398781,31.75,3.58,6.2193816398613,5.79824319493852,1400956.0,298827.0,0.0042495997219989,1453.09780542245,2329.17953201826,0.064237994,0.0,7178.013668,0.0,0.0
28,ATG,Antigua and Barbuda,291.12731595883,9.924773144773807,0.003106100915692,0.339933,0.0348254073095861,0.0190859794100056,537.0,2.25,-0.0002362418435319,0.073961947,0.808,112162.305926373,0.054133100098553,18.0,0.0266435604723974,1758426085.4054,641.2341,3.06414078866878e-07,947.889312727272,641.2341,-0.0156316721776646,0.0,17956.315715683,136.94144,0.0,14.5896175493614,0.259558961055897,0.2484,-0.0037957331987745,0.000405194,0.0917,3.99201213775806,-0.0212916892035414,2.64e-05,0.0160978153185977,0.180790333333333,117.068587096866,223.462884039224,827.366911494928,97928.0,2.2804819277108437,0.8469,-0.0908514247406019,0.554384437511046,0.002162165,39.15,2.9127710843373493,14.4226042897858,15.0747000707929,293.0,15.0,0.0028955430378495,46.8323236513699,174.021747067132,0.001167207,0.0,22.476116,0.0,0.157114912038728
31,AZE,Azerbaijan,479.584947345555,1.8259056,0.0062165342948952,0.292404,6.28285005284157,0.0258985021945555,38200.0,716.0,0.0084379655662387,0.141603138,0.808,80681.4473351257,0.0697259351056208,664.0,0.0091442750475281,138505208279.324,61888.2,4.27571107548971e-07,96605.4193939393,61888.2,0.0079636050440412,72.9594339999999,13699.6655903181,3560.85042,0.0042097649038828,226.951993193258,0.594417878193865,0.61,0.0278263527531852,0.00582935,13.0,85.0259654816319,0.0203099742895736,0.0,37.2140499192204,0.0609459,260.549751121115,117.054889213852,2541.27565370599,10110116.0,2.77,0.8561,0.0903017113489697,29.2748976827516,0.007607446,50.595,2.77,10.567761758092,8.62583593251957,220.0,24.0,3.16566804229333e-05,132.92728023535,156.484141570244,0.012218217,0.0734249500000033,41.648922,0.0004670453148466,0.039
32,ARG,Argentina,124455.797876044,9.820393656,-0.0068431733906622,0.431925,31.926064060259,-0.0026869605417177,187000.0,4760.0,0.0097728533306396,0.123670177,0.808,2897653.80351763,0.174705968809706,2780.0,-0.0077329451044575,893310718364.297,364843.0,3.67962050872012e-07,410689.745454545,364843.0,0.0015982243069789,142.004369999995,19686.523658911,79850.8803,0.0003670207198959,33.9046057793864,4.29505407875021,0.2884,0.019542590837563,0.010494538,167.0,1031.848733025,-0.0002255656684136,0.073795768,15.3207826855216,0.0787923,70.1671663603612,16.2846458105532,580.438054158086,45376763.0,1.36,0.9041,-0.0649359247494321,108.723703497927,0.001533966,37.125,1.36,9.64716783832499,7.09299786183341,1001565.0,202692.0,0.0048557286473979,14.0524228748002,56.7573137143704,0.043632845,290.92263999999,93218.022053,0.0006760198506177,0.059236
36,AUS,Australia,3021672.87379604,2.879592005,0.002584546518938,0.563948,25.2434002626443,-0.0142687088620728,381000.0,4620.0,-0.0336309185029481,0.138702287,0.929,9025415.79581093,0.0480549842810796,15500.0,0.0242656738720857,1250903336355.91,585500.0,4.66728522455031e-07,351049.066666666,585500.0,-0.0370757498544825,0.0,48697.8370282474,1230821.75631528,0.0,0.941726437950431,33.4795974186422,0.0502,-0.0115694849696253,0.016062943,232.0,1239.35490989521,-0.0088797755732233,0.011957721,3.67088620917749,0.158584,59.1845558029672,3.32883482390776,107.298905751469,25687041.0,0.6,0.4713,-0.0650729557903881,1055.14220846437,0.008088235,72.37,0.6,13.9665535920941,15.030674182398,5331440.0,2529076.0,0.0221152248745259,2.21852379713311,10.4195131879779,0.039326949,68.7521279999928,101704.247872,0.0001350420011356,0.929
40,AUT,Austria,0.0,7.046839319,-0.0929372879287362,0.439798,3.98506505244845,-0.0065506695050195,66600.0,375.0,-0.0204751460760949,0.161532876,0.808,0.0,-0.015217013896859,22100.0,0.0102705349095287,464763371371.245,102749.3,2.07241343595402e-07,77803.9569696969,102749.3,-0.0211869660251449,0.0,52119.8482451895,13035.4844,0.0,1.18387687431731,7.518604097278257,0.0191,0.0034758179961218,0.016259031,14.1,126.545687158392,-0.0699104390844092,0.0,22.2261868493336,0.22707,32.7578667763195,106.416007621023,295.931517482344,8917205.0,1.21,0.64,-0.050554948321055,12.4325164874529,0.002444838,79.54,1.21,17.0,17.0,121795.0,25990.0,0.0055141674193497,4.62139204015777,1.87464432529304,0.008480451,0.389057000000008,135.602407,0.0005712790289246,0.94
